headline,url
Trump administration rolled back the birth control mandate,https://www.nytimes.com/2017/10/06/us/politics/trump-contraception-birth-control.html
"""Healthy Texas Women"" resulted in as many as 45,000 women losing access care at planned parenthood",https://www.dallasnews.com/news/texas-legislature/2017/08/03/planned-parenthood-ban-caused-decline-texas-womens-access-health-care-report-says
"Global gag rule is expanded to target U.S. funded health global programs, including HIV/AID prevention and treatment, maternal and child health care, and Zika programs",https://www.theguardian.com/global-development/2017/jan/24/trump-abortion-gag-rule-health-aid
HHS eliminates funding for teen pregnancy prevention programs ,https://www.npr.org/sections/health-shots/2018/02/15/585879601/trump-administration-sued-for-ending-funding-of-teen-pregnancy-programs
Trump is preparing to end the Affordable Care Act birth control benefit,https://www.nytimes.com/2017/10/06/us/politics/trump-contraception-birth-control.html
Trump Adminstration announces plan to strip Title X Funds from abortion providers,https://www.nytimes.com/2018/05/17/us/politics/trump-funding-abortion-restrictions.html
38 States still tax feminine hygiene products,http://www.politifact.com/punditfact/statements/2017/jan/22/ashley-judd/are-pads-and-tampons-taxed-viagra-and-rogaine-not/
Senate majority leader creates a 13 ALL MALE group to work on new healthcare bill,https://www.nytimes.com/2017/05/08/us/politics/women-health-care-senate.html?login=email&auth=login-email
214 million women globally want birth control but don't have access to it ,https://www.guttmacher.org/fact-sheet/adding-it-up-contraception-mnh-2017
Trump's gag rule proposes providers stop discussing abortion with their patients or stop receiving Title X funding ,https://www.vox.com/2018/5/11/17319614/trump-abortion-planned-parenthood-domestic-gag-rule-title-x
Roe vs. Wade ruling in jeopardy as Supreme Court Justice Anthony Kennedy's retirement potentially leads to a conservative replacement,https://www.nytimes.com/2018/06/27/us/politics/anthony-kennedy-retire-supreme-court.html